,Latitude,Longitude,City,Country,Max Temp.,Humidity,Cloudiness,Windiness,Date
0,-46.1927,168.8643,Mataura,NZ,25.38,34,0,0.14,1610424683
1,77.484,-69.3632,Qaanaaq,GL,-16.0,74,4,3.21,1610424685
2,-34.4187,19.2345,Hermanus,ZA,20.56,89,88,3.13,1610424686
3,65.5833,-171.0,Lavrentiya,RU,-24.47,83,95,4.63,1610424688
4,50.5834,-113.8687,High River,CA,0.0,60,100,7.57,1610424689
5,-34.5833,150.8552,Flinders,AU,30.56,56,100,2.24,1610424690
6,37.5683,126.9778,Seoul,KR,1.0,55,0,4.12,1610424519
7,70.6333,147.9167,Chokurdakh,RU,-33.22,83,100,1.48,1610424693
8,42.6001,-73.9662,Albany,US,-2.78,73,8,0.96,1610424696
9,-16.4096,-67.5263,Chulumani,BO,17.3,77,100,0.65,1610424697
10,45.5234,-122.6762,Portland,US,8.89,81,90,7.2,1610424516
11,0.5333,72.9333,Thinadhoo,MV,27.46,77,92,7.31,1610424699
12,54.05,122.9,Urusha,RU,-24.47,87,100,2.33,1610424700
13,-54.8,-68.3,Ushuaia,AR,6.0,75,75,13.38,1610424702
14,-42.7826,147.0587,New Norfolk,AU,23.33,43,2,0.89,1610424703
15,3.4865,102.3516,Mentakab,MY,28.52,65,95,2.43,1610424704
16,64.3833,-173.3,Provideniya,RU,-17.0,71,75,3.0,1610424450
17,62.456,-114.3525,Yellowknife,CA,-12.0,85,75,3.6,1610424662
18,65.6145,-37.6368,Tasiilaq,GL,-5.0,36,75,1.54,1610424707
19,-0.7393,-90.3518,Puerto Ayora,EC,23.33,94,13,2.14,1610424709
20,-9.8,-139.0333,Atuona,PF,25.33,80,1,6.4,1610424710
21,-24.8667,113.6333,Carnarvon,AU,29.0,70,0,8.75,1610424712
22,73.5069,80.5464,Dikson,RU,-10.29,97,98,2.9,1610424713
23,-20.5167,57.5167,Souillac,MU,26.0,94,75,7.2,1610424715
24,28.6585,-17.9182,Los Llanos de Aridane,ES,15.0,72,75,3.6,1610424716
25,46.4333,26.4,Asău,RO,-1.0,100,90,3.6,1610424717
26,69.2167,-51.1,Ilulissat,GL,-4.0,86,90,1.54,1610424718
27,43.2128,-75.4557,Rome,US,-2.78,86,90,1.27,1610424719
28,22.8167,108.3167,Nanning,CN,13.0,38,0,4.0,1610424720
29,35.7333,140.8333,Hasaki,JP,6.11,93,75,4.63,1610424721
30,42.1584,-72.3287,Palmer,US,-5.56,93,1,1.68,1610424723
31,37.1041,-113.5841,Saint George,US,3.89,32,1,2.57,1610424540
32,-21.3585,55.7679,Saint-Philippe,RE,29.0,74,75,3.6,1610424727
33,-34.5322,20.0403,Bredasdorp,ZA,19.0,94,93,6.69,1610424729
34,-36.8167,174.45,Muriwai Beach,NZ,25.0,74,45,4.47,1610424730
35,40.8,-96.667,Lincoln,US,1.67,75,1,3.85,1610424641
36,56.0815,99.6342,Chunskiy,RU,-27.93,86,35,1.99,1610424732
37,-33.918,25.5701,Port Elizabeth,ZA,20.0,94,90,4.63,1610424733
38,-8.9266,125.4092,Airai,TL,23.67,84,15,0.71,1610424734
39,-53.15,-70.9167,Punta Arenas,CL,5.0,81,0,10.8,1610424736
40,26.7292,33.9365,Safaga,EG,18.0,52,0,3.6,1610424737
41,69.4541,-133.0374,Tuktoyaktuk,CA,-16.0,85,90,7.72,1610424738
42,-24.7911,-50.0119,Castro,BR,19.23,97,41,3.69,1610424739
43,-25.4,-70.4833,Taltal,CL,17.72,75,69,0.46,1610424740
44,47.1483,42.4633,Zimovniki,RU,-2.82,95,23,2.39,1610424741
45,-4.1944,-40.4767,Varjota,BR,23.15,76,100,2.92,1610424730
46,-38.2667,141.9667,Codrington,AU,17.94,55,43,5.89,1610424665
47,69.4865,88.3972,Talnakh,RU,-26.67,88,71,2.15,1610424745
48,51.1667,94.5,Bay-Khaak,RU,-14.98,92,100,1.09,1610424748
49,-6.1349,12.3689,Soyo,AO,24.6,83,87,1.71,1610424751
50,-33.65,115.3333,Busselton,AU,27.22,42,7,1.79,1610424753
51,27.9333,-110.9,Guaymas,MX,14.44,26,0,0.45,1610424754
52,69.2408,19.2344,Storsteinnes,NO,-5.0,72,0,3.44,1610424755
