,Latitude,Longitude,City,Country,Max Temp.,Humidity,Cloudiness,Windiness,Date
0,-46.1927,168.8643,Mataura,NZ,25.38,34,0,0.14,1610424683
2,-34.4187,19.2345,Hermanus,ZA,20.56,89,88,3.13,1610424686
5,-34.5833,150.8552,Flinders,AU,30.56,56,100,2.24,1610424690
9,-16.4096,-67.5263,Chulumani,BO,17.3,77,100,0.65,1610424697
13,-54.8,-68.3,Ushuaia,AR,6.0,75,75,13.38,1610424702
14,-42.7826,147.0587,New Norfolk,AU,23.33,43,2,0.89,1610424703
19,-0.7393,-90.3518,Puerto Ayora,EC,23.33,94,13,2.14,1610424709
20,-9.8,-139.0333,Atuona,PF,25.33,80,1,6.4,1610424710
21,-24.8667,113.6333,Carnarvon,AU,29.0,70,0,8.75,1610424712
23,-20.5167,57.5167,Souillac,MU,26.0,94,75,7.2,1610424715
32,-21.3585,55.7679,Saint-Philippe,RE,29.0,74,75,3.6,1610424727
33,-34.5322,20.0403,Bredasdorp,ZA,19.0,94,93,6.69,1610424729
34,-36.8167,174.45,Muriwai Beach,NZ,25.0,74,45,4.47,1610424730
37,-33.918,25.5701,Port Elizabeth,ZA,20.0,94,90,4.63,1610424733
38,-8.9266,125.4092,Airai,TL,23.67,84,15,0.71,1610424734
39,-53.15,-70.9167,Punta Arenas,CL,5.0,81,0,10.8,1610424736
42,-24.7911,-50.0119,Castro,BR,19.23,97,41,3.69,1610424739
43,-25.4,-70.4833,Taltal,CL,17.72,75,69,0.46,1610424740
45,-4.1944,-40.4767,Varjota,BR,23.15,76,100,2.92,1610424730
46,-38.2667,141.9667,Codrington,AU,17.94,55,43,5.89,1610424665
49,-6.1349,12.3689,Soyo,AO,24.6,83,87,1.71,1610424751
50,-33.65,115.3333,Busselton,AU,27.22,42,7,1.79,1610424753
55,-23.6649,27.7443,Ellisras,ZA,20.63,75,0,3.47,1610424759
56,-46.1333,167.6833,Tuatapere,NZ,21.24,48,15,2.49,1610424760
58,-12.2569,44.5319,Domoni,KM,26.75,79,70,4.95,1610424762
65,-20.3428,57.7575,Bambous Virieux,MU,27.78,94,75,7.2,1610424770
66,-46.6,168.3333,Bluff,NZ,17.89,62,16,2.88,1610424772
67,-21.2,-175.2,Vaini,TO,28.0,89,75,4.63,1610424774
69,-23.1203,-134.9692,Rikitea,PF,25.73,78,37,9.46,1610424776
70,-28.7667,114.6,Geraldton,AU,28.0,44,97,9.26,1610424777
73,-7.4706,-34.8086,Pitimbu,BR,25.0,94,40,3.5,1610424782
76,-25.2406,130.9889,Yulara,AU,38.0,11,0,6.69,1610424787
79,-20.0064,57.6608,Grand Gaube,MU,27.78,84,100,4.02,1610424776
81,-3.6667,152.4333,Namatanai,PG,28.01,76,93,2.05,1610424792
82,-42.913,147.3532,Sandy Bay,AU,23.33,45,20,9.26,1610424509
83,-22.2763,166.4572,Noumea,NC,28.0,78,0,5.66,1610424770
84,-6.9811,-34.8339,Cabedelo,BR,25.0,94,40,3.1,1610424796
89,-29.9533,-71.3436,Coquimbo,CL,15.0,88,0,2.57,1610424803
97,-13.4584,25.8338,Kasempa,ZM,17.6,98,100,2.1,1610424813
100,-30.6733,-51.3958,Tapes,BR,22.01,88,100,2.19,1610424817
108,-33.5906,26.891,Port Alfred,ZA,20.56,97,77,5.03,1610424827
109,-25.1667,45.05,Beloha,MG,25.49,73,0,4.36,1610424828
110,-2.5744,150.7967,Kavieng,PG,29.27,72,100,4.39,1610424829
113,-33.9258,18.4232,Cape Town,ZA,20.0,82,0,3.6,1610424767
114,-22.9661,-42.0278,Arraial do Cabo,BR,25.0,88,20,7.2,1610424554
117,-20.7333,139.5,Mount Isa,AU,36.0,28,40,2.06,1610424837
119,-3.8004,102.2655,Bengkulu,ID,23.79,91,100,5.78,1610424840
121,-3.8278,-78.7594,Yantzaza,EC,19.16,84,78,0.39,1610424842
124,-6.8844,112.2051,Labuhan,ID,29.6,73,100,3.72,1610424846
125,-20.3167,118.5667,Port Hedland,AU,36.0,52,1,6.69,1610424847
129,-17.7333,-149.15,Tautira,PF,30.0,61,75,2.06,1610424853
131,-15.1961,12.1522,Mossamedes,AO,21.45,66,63,2.5,1610424855
133,-30.1811,-50.2056,Cidreira,BR,23.24,94,100,5.45,1610424857
134,-38.4667,176.7,Murupara,NZ,23.89,70,96,1.34,1610424858
140,-20.4081,57.7,Mahébourg,MU,26.0,94,75,7.2,1610424689
141,-46.2817,169.8464,Kaitangata,NZ,16.67,73,0,4.02,1610424866
142,-5.1989,-35.4608,Touros,BR,25.0,83,40,1.54,1610424868
144,-13.7,-76.2167,Pisco,PE,21.11,88,0,2.57,1610424870
147,-0.6,73.0833,Hithadhoo,MV,27.39,76,75,7.26,1610424875
152,-17.8833,15.0667,Ongandjera,NA,20.25,52,94,2.78,1610424880
157,-16.4833,-151.75,Faanui,PF,27.72,74,100,8.26,1610424886
159,-37.6167,-73.65,Lebu,CL,11.13,75,0,8.06,1610424620
161,-20.9667,164.7,Voh,NC,29.63,74,94,1.69,1610424891
165,-38.3739,-60.2798,Tres Arroyos,AR,11.06,60,0,2.32,1610424895
168,-33.0117,17.9442,Saldanha,ZA,16.0,82,0,1.54,1610424899
181,-12.1167,-73.0,Pangoa,PE,20.49,95,100,1.0,1610424918
183,-28.55,16.4333,Oranjemund,NA,17.3,87,99,3.73,1610424920
185,-21.2078,-159.775,Avarua,CK,29.0,70,75,7.2,1610424922
