,Latitude,Longitude,City,Country,Max Temp.,Humidity,Cloudiness,Windiness,Date
0,-1.195,-46.02,Carutapera,BR,82.15,78,100,7.23,1610541827
1,55.7435,-97.8558,Thompson,CA,26.6,100,90,3.44,1610541828
2,2.0167,112.9333,Kapit,MY,76.1,93,100,1.19,1610541829
3,-30.1811,-50.2056,Cidreira,BR,72.55,72,99,11.3,1610541653
4,-6.3667,37.3667,Magole,TZ,86.0,66,40,14.97,1610541831
5,62.2266,-6.589,Klaksvík,FO,37.4,75,40,13.8,1610541833
6,-33.65,115.3333,Busselton,AU,66.99,55,100,1.99,1610541834
7,-34.4187,19.2345,Hermanus,ZA,78.01,71,91,10.0,1610541835
8,32.3754,15.0925,Misratah,LY,60.03,66,86,27.89,1610541747
9,63.2842,118.3319,Nyurba,RU,-21.59,86,100,4.85,1610541837
10,-0.3582,42.5454,Kismayo,SO,81.18,67,0,19.82,1610541839
11,-21.2078,-159.775,Avarua,CK,80.6,78,75,9.22,1610541840
12,-54.8,-68.3,Ushuaia,AR,46.4,71,75,4.61,1610541841
13,26.05,84.05,Sikandarpur,IN,55.85,50,0,4.56,1610541842
14,50.2441,127.4902,Heihe,CN,-9.4,77,20,4.47,1610541843
15,8.5711,81.2335,Trincomalee,LK,80.13,81,55,14.05,1610541844
16,57.79,-152.4072,Saint Paul Harbor,US,24.8,100,1,5.75,1610541846
17,-0.7393,-90.3518,Puerto Ayora,EC,73.99,94,21,3.0,1610541714
18,41.0002,-115.5012,Elko,US,34.0,80,40,3.44,1610541848
19,60.9167,-46.05,Narsaq,GL,32.0,93,90,3.44,1610541849
20,-33.0153,27.9116,East London,ZA,71.6,100,90,11.5,1610541850
21,61.994,-49.6678,Paamiut,GL,26.46,97,100,16.13,1610541794
22,-9.8,-139.0333,Atuona,PF,76.78,81,92,18.3,1610541854
23,33.2833,134.15,Muroto-misakicho,JP,49.89,63,0,10.22,1610541855
24,-53.15,-70.9167,Punta Arenas,CL,53.6,66,75,13.8,1610541856
25,-17.397,32.2268,Mutoko,ZW,75.25,75,97,9.37,1610541857
26,-0.6,73.0833,Hithadhoo,MV,82.08,75,55,20.36,1610541859
27,-46.6,168.3333,Bluff,NZ,55.99,86,59,1.01,1610541860
28,46.4333,26.4,Asău,RO,37.99,100,75,2.3,1610541861
29,71.9167,114.0833,Saskylakh,RU,-36.83,80,99,11.27,1610541862
30,42.6001,-73.9662,Albany,US,28.99,73,98,2.15,1610541863
31,70.6345,29.7185,Båtsfjord,NO,10.4,71,100,47.18,1610541864
32,5.4033,125.4636,Sarangani,PH,83.07,78,100,8.55,1610541866
33,49.9333,116.8667,Dauriya,RU,-17.97,83,0,5.03,1610541867
34,35.1333,140.3,Katsuura,JP,48.2,53,75,4.61,1610541868
35,-33.9258,18.4232,Cape Town,ZA,89.6,43,0,12.66,1610541597
36,28.017,-97.5169,San Patricio,US,35.6,93,1,3.44,1610541870
37,18.4167,-64.6167,Road Town,VG,78.8,73,40,13.8,1610541871
38,32.6667,-17.1,Ponta do Sol,PT,60.8,51,75,6.91,1610541873
39,77.484,-69.3632,Qaanaaq,GL,0.37,88,96,1.83,1610541874
40,35.2937,-2.9383,Melilla,ES,57.2,62,20,6.91,1610541876
41,49.1167,131.1833,Khingansk,RU,-3.12,95,100,2.64,1610541878
42,-46.1927,168.8643,Mataura,NZ,55.99,86,70,1.01,1610541879
43,41.3712,-73.414,Bethel,US,28.99,93,90,1.39,1610541657
44,-42.7826,147.0587,New Norfolk,AU,64.0,77,100,2.62,1610541882
45,-23.1203,-134.9692,Rikitea,PF,77.23,79,17,14.09,1610541883
46,-14.8796,47.9875,Antsohihy,MG,84.78,76,1,6.73,1610541884
47,-6.8844,112.2051,Labuhan,ID,80.24,82,100,9.46,1610541885
48,28.6585,-17.9182,Los Llanos de Aridane,ES,66.2,55,40,10.36,1610541887
49,1.3292,172.9752,Bairiki Village,KI,78.8,78,20,12.66,1610541888
50,-24.7117,33.8828,Manjacaze,MZ,89.4,52,41,11.63,1610541889
51,22.0752,-159.319,Kapaa,US,71.6,83,1,5.75,1610541665
52,66.1451,-65.7125,Pangnirtung,CA,-9.4,84,1,1.95,1610541891
53,-22.9661,-42.0278,Arraial do Cabo,BR,82.4,69,20,17.27,1610541893
54,-2.5744,150.7967,Kavieng,PG,82.63,77,32,16.31,1610541894
55,-35.1,173.7833,Kaeo,NZ,64.99,89,18,1.99,1610541896
56,41.2835,-70.0995,Nantucket,US,35.6,69,90,5.75,1610541842
57,33.7333,135.9833,Shingū,JP,38.21,78,0,6.78,1610541898
58,59.7035,30.7861,Nikolskoye,RU,8.6,78,75,17.9,1610541900
59,22.5667,59.5289,Sur,OM,71.56,52,0,12.68,1610541901
60,64.3833,-173.3,Provideniya,RU,-3.37,84,100,8.12,1610541904
61,65.5333,72.5167,Nadym,RU,6.13,91,100,18.39,1610541782
62,-37.6167,-73.65,Lebu,CL,57.81,59,100,12.91,1610541906
63,-21.2,-175.2,Vaini,TO,78.8,94,20,4.61,1610541909
64,62.456,-114.3525,Yellowknife,CA,16.0,92,90,11.5,1610541910
65,10.3997,-75.5144,Cartagena,CO,75.2,100,40,8.12,1610541911
66,56.2589,83.9714,Kozhevnikovo,RU,-24.25,86,0,3.85,1610541912
67,36.7867,31.4431,Manavgat,TR,68.0,45,40,9.22,1610541914
68,-2.0226,147.2712,Lorengau,PG,83.03,76,100,10.16,1610541915
69,66.7697,123.3711,Zhigansk,RU,-38.51,80,100,14.2,1610541916
70,54.6,48.95,Staraya Mayna,RU,-20.2,76,75,4.47,1610541917
71,12.6833,124.3636,Biri,PH,79.57,86,99,20.11,1610541918
72,65.6145,-37.6368,Tasiilaq,GL,32.0,93,90,39.12,1610541919
73,31.61,34.7642,Kiryat Gat,IL,75.0,33,100,5.01,1610541921
74,41.3581,-93.5574,Indianola,US,33.01,74,72,7.72,1610541780
75,10.1301,-71.2595,Lagunillas,VE,78.73,66,99,3.51,1610541924
76,-17.7125,-39.2481,Caravelas,BR,86.11,53,9,5.82,1610541925
77,-15.7667,128.7333,Kununurra,AU,80.6,94,40,5.75,1610541927
78,34.6391,-120.4579,Lompoc,US,48.0,100,1,6.2,1610541864
79,40.5589,8.3181,Alghero,IT,57.2,72,75,11.5,1610541929
80,-25.3333,-57.5333,San Lorenzo,PY,78.8,73,0,3.44,1610541931
81,48.1,136.1,Mukhen,RU,6.01,94,100,2.62,1610541932
82,-33.1416,-59.3097,Gualeguay,AR,77.05,44,0,8.86,1610541933
83,71.2906,-156.7887,Barrow,US,-2.2,71,1,25.32,1610541934
84,39.05,-27.9833,Lagoa,PT,59.67,81,100,10.96,1610541935
85,-33.5906,26.891,Port Alfred,ZA,70.0,93,100,1.99,1610541720
86,-45.4167,167.7167,Te Anau,NZ,55.22,85,68,3.0,1610541937
87,14.0833,98.2,Dawei,MM,68.61,65,0,2.8,1610541939
88,-39.0333,-67.5833,General Roca,AR,68.0,30,0,8.05,1610541940
89,3.0707,172.7902,Butaritari,KI,80.83,81,100,18.37,1610541942
90,25.0213,37.2685,Umluj,SA,78.64,36,85,9.13,1610541918
91,63.4427,-20.2734,Vestmannaeyjar,IS,41.0,100,90,42.57,1610541946
92,71.6872,128.8694,Tiksi,RU,-33.99,80,35,3.36,1610541947
93,-8.103,156.8419,Gizo Government Station,SB,83.16,78,75,11.07,1610541948
94,37.1041,-113.5841,Saint George,US,28.4,46,1,3.44,1610541677
95,23.0167,-98.8833,Xicoténcatl,MX,51.01,69,30,5.99,1610541950
96,1.7471,40.0573,Wajir,KE,95.22,19,0,13.87,1610541951
97,32.3333,-117.0333,Rosarito,MX,51.01,49,1,8.05,1610541953
98,64.8378,-147.7164,Fairbanks,US,5.0,77,40,1.97,1610541902
99,69.4541,-133.0374,Tuktoyaktuk,CA,-18.11,89,100,8.32,1610541955
100,-8.65,115.2167,Denpasar,ID,80.6,83,40,6.91,1610541956
101,-42.8794,147.3294,Hobart,AU,64.4,72,90,10.36,1610541957
102,-28.7667,114.6,Geraldton,AU,73.4,78,0,23.02,1610541959
103,44.5833,129.4167,Hailin,CN,-2.92,87,2,4.36,1610541960
104,47.7764,44.5089,Sadovoye,RU,33.64,91,100,24.63,1610541961
105,64.5011,-165.4064,Nome,US,14.0,79,100,4.61,1610541740
106,12.2188,125.4808,Alugan,PH,79.83,87,100,10.83,1610541964
107,42.097,-79.2353,Jamestown,US,28.0,93,90,11.01,1610541966
108,69.7008,170.3133,Pevek,RU,-12.53,90,100,6.89,1610541967
109,69.2167,-51.1,Ilulissat,GL,32.0,64,75,8.05,1610541968
110,-6.1219,141.2906,Kiunga,PG,75.88,97,98,0.81,1610541969
111,66.0449,-17.3389,Husavik,IS,33.8,69,0,10.36,1610541971
112,-31.4333,152.9167,Port Macquarie,AU,66.99,96,25,7.85,1610541972
113,30.6043,32.2723,Ismailia,EG,79.47,21,100,24.05,1610541973
114,-38.0023,-57.5575,Mar del Plata,AR,69.8,52,0,11.5,1610541821
115,31.4165,31.8133,Damietta,EG,71.6,56,75,19.57,1610541976
116,38.2567,-85.6016,Lyndon,US,32.0,80,1,4.61,1610541978
117,8.1222,-63.5497,Ciudad Bolivar,VE,78.37,67,4,12.48,1610541979
118,38.5167,-28.7,Ribeira Grande,PT,62.6,77,40,11.5,1610541980
119,61.9594,129.9086,Nizhniy Bestyakh,RU,-56.2,58,98,2.77,1610541981
120,-34.5322,20.0403,Bredasdorp,ZA,77.0,65,100,19.57,1610541983
121,35.2091,-118.8284,Arvin,US,42.01,76,1,7.0,1610541984
122,-22.6667,167.4833,Vao,NC,77.45,84,99,18.34,1610541985
123,-22.5594,17.0832,Windhoek,NA,78.8,65,100,8.05,1610541986
124,19.7297,-155.09,Hilo,US,68.0,88,1,3.4,1610541987
125,54.7804,-127.1743,Smithers,CA,17.6,93,20,3.44,1610541920
126,32.7701,-108.2803,Silver City,US,30.99,42,1,12.66,1610541990
127,-20.4081,57.7,Mahébourg,MU,84.2,70,20,12.66,1610541991
128,71.0357,27.8492,Mehamn,NO,10.4,44,0,39.12,1610541992
129,-18.5067,-54.76,Coxim,BR,89.6,52,100,1.63,1610541994
130,39.1834,-84.5333,Hamilton,US,30.0,86,20,9.22,1610541995
131,-20.4667,22.7167,Sehithwa,BW,83.62,59,100,5.93,1610541996
132,63.6445,54.856,Nizhniy Odes,RU,-14.57,89,53,1.52,1610541997
133,-26.502,17.1583,Bethanien,NA,91.35,31,93,7.67,1610541999
134,2.7858,24.73,Buta,CD,101.37,19,0,1.57,1610542000
135,7.5333,1.1333,Atakpamé,TG,96.08,19,0,4.9,1610542001
136,13.5928,-89.8275,Acajutla,SV,77.77,62,0,7.56,1610542002
137,27.7167,85.3167,Kathmandu,NP,53.6,76,75,6.91,1610542003
138,16.7333,82.2167,Yanam,IN,82.4,65,100,4.61,1610542005
139,34.8791,-76.9013,Havelock,US,35.6,100,90,3.18,1610542006
