,Latitude,Longitude,City,Country,Max Temp.,Humidity,Cloudiness,Windiness,Date
1,55.7435,-97.8558,Thompson,CA,26.6,100,90,3.44,1610541828
2,2.0167,112.9333,Kapit,MY,76.1,93,100,1.19,1610541829
5,62.2266,-6.589,Klaksvík,FO,37.4,75,40,13.8,1610541833
8,32.3754,15.0925,Misratah,LY,60.03,66,86,27.89,1610541747
9,63.2842,118.3319,Nyurba,RU,-21.59,86,100,4.85,1610541837
13,26.05,84.05,Sikandarpur,IN,55.85,50,0,4.56,1610541842
14,50.2441,127.4902,Heihe,CN,-9.4,77,20,4.47,1610541843
15,8.5711,81.2335,Trincomalee,LK,80.13,81,55,14.05,1610541844
16,57.79,-152.4072,Saint Paul Harbor,US,24.8,100,1,5.75,1610541846
18,41.0002,-115.5012,Elko,US,34.0,80,40,3.44,1610541848
19,60.9167,-46.05,Narsaq,GL,32.0,93,90,3.44,1610541849
21,61.994,-49.6678,Paamiut,GL,26.46,97,100,16.13,1610541794
23,33.2833,134.15,Muroto-misakicho,JP,49.89,63,0,10.22,1610541855
28,46.4333,26.4,Asău,RO,37.99,100,75,2.3,1610541861
29,71.9167,114.0833,Saskylakh,RU,-36.83,80,99,11.27,1610541862
30,42.6001,-73.9662,Albany,US,28.99,73,98,2.15,1610541863
31,70.6345,29.7185,Båtsfjord,NO,10.4,71,100,47.18,1610541864
32,5.4033,125.4636,Sarangani,PH,83.07,78,100,8.55,1610541866
33,49.9333,116.8667,Dauriya,RU,-17.97,83,0,5.03,1610541867
34,35.1333,140.3,Katsuura,JP,48.2,53,75,4.61,1610541868
36,28.017,-97.5169,San Patricio,US,35.6,93,1,3.44,1610541870
37,18.4167,-64.6167,Road Town,VG,78.8,73,40,13.8,1610541871
38,32.6667,-17.1,Ponta do Sol,PT,60.8,51,75,6.91,1610541873
39,77.484,-69.3632,Qaanaaq,GL,0.37,88,96,1.83,1610541874
40,35.2937,-2.9383,Melilla,ES,57.2,62,20,6.91,1610541876
41,49.1167,131.1833,Khingansk,RU,-3.12,95,100,2.64,1610541878
43,41.3712,-73.414,Bethel,US,28.99,93,90,1.39,1610541657
48,28.6585,-17.9182,Los Llanos de Aridane,ES,66.2,55,40,10.36,1610541887
49,1.3292,172.9752,Bairiki Village,KI,78.8,78,20,12.66,1610541888
51,22.0752,-159.319,Kapaa,US,71.6,83,1,5.75,1610541665
52,66.1451,-65.7125,Pangnirtung,CA,-9.4,84,1,1.95,1610541891
56,41.2835,-70.0995,Nantucket,US,35.6,69,90,5.75,1610541842
57,33.7333,135.9833,Shingū,JP,38.21,78,0,6.78,1610541898
58,59.7035,30.7861,Nikolskoye,RU,8.6,78,75,17.9,1610541900
59,22.5667,59.5289,Sur,OM,71.56,52,0,12.68,1610541901
60,64.3833,-173.3,Provideniya,RU,-3.37,84,100,8.12,1610541904
61,65.5333,72.5167,Nadym,RU,6.13,91,100,18.39,1610541782
64,62.456,-114.3525,Yellowknife,CA,16.0,92,90,11.5,1610541910
65,10.3997,-75.5144,Cartagena,CO,75.2,100,40,8.12,1610541911
66,56.2589,83.9714,Kozhevnikovo,RU,-24.25,86,0,3.85,1610541912
67,36.7867,31.4431,Manavgat,TR,68.0,45,40,9.22,1610541914
69,66.7697,123.3711,Zhigansk,RU,-38.51,80,100,14.2,1610541916
70,54.6,48.95,Staraya Mayna,RU,-20.2,76,75,4.47,1610541917
71,12.6833,124.3636,Biri,PH,79.57,86,99,20.11,1610541918
72,65.6145,-37.6368,Tasiilaq,GL,32.0,93,90,39.12,1610541919
73,31.61,34.7642,Kiryat Gat,IL,75.0,33,100,5.01,1610541921
74,41.3581,-93.5574,Indianola,US,33.01,74,72,7.72,1610541780
75,10.1301,-71.2595,Lagunillas,VE,78.73,66,99,3.51,1610541924
78,34.6391,-120.4579,Lompoc,US,48.0,100,1,6.2,1610541864
79,40.5589,8.3181,Alghero,IT,57.2,72,75,11.5,1610541929
81,48.1,136.1,Mukhen,RU,6.01,94,100,2.62,1610541932
83,71.2906,-156.7887,Barrow,US,-2.2,71,1,25.32,1610541934
84,39.05,-27.9833,Lagoa,PT,59.67,81,100,10.96,1610541935
87,14.0833,98.2,Dawei,MM,68.61,65,0,2.8,1610541939
89,3.0707,172.7902,Butaritari,KI,80.83,81,100,18.37,1610541942
90,25.0213,37.2685,Umluj,SA,78.64,36,85,9.13,1610541918
91,63.4427,-20.2734,Vestmannaeyjar,IS,41.0,100,90,42.57,1610541946
92,71.6872,128.8694,Tiksi,RU,-33.99,80,35,3.36,1610541947
94,37.1041,-113.5841,Saint George,US,28.4,46,1,3.44,1610541677
95,23.0167,-98.8833,Xicoténcatl,MX,51.01,69,30,5.99,1610541950
96,1.7471,40.0573,Wajir,KE,95.22,19,0,13.87,1610541951
97,32.3333,-117.0333,Rosarito,MX,51.01,49,1,8.05,1610541953
98,64.8378,-147.7164,Fairbanks,US,5.0,77,40,1.97,1610541902
99,69.4541,-133.0374,Tuktoyaktuk,CA,-18.11,89,100,8.32,1610541955
103,44.5833,129.4167,Hailin,CN,-2.92,87,2,4.36,1610541960
104,47.7764,44.5089,Sadovoye,RU,33.64,91,100,24.63,1610541961
105,64.5011,-165.4064,Nome,US,14.0,79,100,4.61,1610541740
106,12.2188,125.4808,Alugan,PH,79.83,87,100,10.83,1610541964
107,42.097,-79.2353,Jamestown,US,28.0,93,90,11.01,1610541966
108,69.7008,170.3133,Pevek,RU,-12.53,90,100,6.89,1610541967
109,69.2167,-51.1,Ilulissat,GL,32.0,64,75,8.05,1610541968
111,66.0449,-17.3389,Husavik,IS,33.8,69,0,10.36,1610541971
113,30.6043,32.2723,Ismailia,EG,79.47,21,100,24.05,1610541973
115,31.4165,31.8133,Damietta,EG,71.6,56,75,19.57,1610541976
116,38.2567,-85.6016,Lyndon,US,32.0,80,1,4.61,1610541978
117,8.1222,-63.5497,Ciudad Bolivar,VE,78.37,67,4,12.48,1610541979
118,38.5167,-28.7,Ribeira Grande,PT,62.6,77,40,11.5,1610541980
119,61.9594,129.9086,Nizhniy Bestyakh,RU,-56.2,58,98,2.77,1610541981
121,35.2091,-118.8284,Arvin,US,42.01,76,1,7.0,1610541984
124,19.7297,-155.09,Hilo,US,68.0,88,1,3.4,1610541987
125,54.7804,-127.1743,Smithers,CA,17.6,93,20,3.44,1610541920
126,32.7701,-108.2803,Silver City,US,30.99,42,1,12.66,1610541990
128,71.0357,27.8492,Mehamn,NO,10.4,44,0,39.12,1610541992
130,39.1834,-84.5333,Hamilton,US,30.0,86,20,9.22,1610541995
132,63.6445,54.856,Nizhniy Odes,RU,-14.57,89,53,1.52,1610541997
134,2.7858,24.73,Buta,CD,101.37,19,0,1.57,1610542000
135,7.5333,1.1333,Atakpamé,TG,96.08,19,0,4.9,1610542001
136,13.5928,-89.8275,Acajutla,SV,77.77,62,0,7.56,1610542002
137,27.7167,85.3167,Kathmandu,NP,53.6,76,75,6.91,1610542003
138,16.7333,82.2167,Yanam,IN,82.4,65,100,4.61,1610542005
139,34.8791,-76.9013,Havelock,US,35.6,100,90,3.18,1610542006
140,71.9667,102.5,Khatanga,RU,-22.83,86,100,9.89,1610542007
143,40.0824,49.412,Qobustan,AZ,48.2,87,90,29.93,1610542011
145,53.1333,132.9,Tokur,RU,-18.76,89,100,3.91,1610542013
147,14.9215,-23.5087,Praia,CV,75.2,57,75,21.85,1610542015
148,78.2186,15.6401,Longyearbyen,SJ,21.2,73,75,8.05,1610542017
150,70.6333,147.9167,Chokurdakh,RU,-39.44,83,12,0.4,1610542019
151,11.2833,-15.8333,Bubaque,GW,78.58,52,0,8.81,1610542020
152,53.5237,-2.4935,Atherton,GB,39.99,89,100,3.15,1610542021
153,11.7361,41.0853,Dubti,ET,88.25,23,72,15.19,1610542023
154,9.4942,50.8122,Bandarbeyla,SO,76.6,62,0,24.47,1610542024
156,37.6775,-113.0619,Cedar City,US,21.2,63,1,5.75,1610542026
157,4.9333,-52.3333,Cayenne,GF,80.6,83,90,4.61,1610541882
158,33.3597,129.5531,Hirado,JP,45.0,87,40,10.36,1610542030
159,22.8909,-109.9124,Cabo San Lucas,MX,57.0,43,24,1.99,1610541940
160,69.3833,178.4167,Leningradskiy,RU,-14.57,86,100,11.07,1610542034
162,65.282,-126.8329,Norman Wells,CA,-0.4,85,90,13.8,1610542038
164,69.4865,88.3972,Talnakh,RU,-18.87,85,27,10.58,1610542040
165,52.7011,118.8077,Ust'-Karsk,RU,-14.8,84,93,1.88,1610542041
166,18.7333,-103.6833,Coahuayana Viejo,MX,69.69,52,54,3.71,1610542043
167,48.8264,58.1442,Emba,KZ,0.36,89,97,9.75,1610542044
168,23.2667,69.6667,Bhuj,IN,66.94,24,0,7.29,1610542045
169,55.1001,-105.2842,La Ronge,CA,23.0,86,100,6.91,1610542046
170,63.05,179.3167,Beringovskiy,RU,-15.52,85,100,10.09,1610542047
171,39.447,-86.1758,Bud,US,30.99,93,1,5.75,1610542049
172,9.4092,45.064,Oodweyne,SO,77.11,26,32,15.43,1610542051
173,53.0168,-112.8353,Camrose,CA,28.4,86,100,5.75,1610541903
174,48.5872,57.1869,Shubarshi,KZ,1.98,90,100,9.86,1610542053
175,73.5069,80.5464,Dikson,RU,-24.3,87,59,9.35,1610542054
176,50.6789,156.125,Severo-Kuril'sk,RU,18.59,88,94,12.33,1610542056
177,61.3833,152.75,Talaya,RU,-22.18,84,100,2.06,1610542057
178,30.3333,10.85,Nālūt,LY,56.53,36,50,10.85,1610542058
180,38.8876,-76.5119,Mayo,US,28.4,100,1,2.73,1610541761
182,47.6666,-52.7314,Torbay,CA,30.0,93,90,2.3,1610541882
183,51.6167,114.35,Karymskoye,RU,-14.69,82,0,2.08,1610542064
184,10.5669,72.642,Kavaratti,IN,76.3,83,100,4.14,1610542065
186,21.3469,-158.0858,Makakilo City,US,77.0,69,40,9.22,1610542067
187,68.75,161.3,Cherskiy,RU,-17.32,85,100,11.7,1610542069
189,65.9939,57.5281,Usinsk,RU,-14.22,84,32,7.87,1610542071
190,19.1082,-72.6938,Saint-Marc,HT,75.58,70,54,5.3,1610542072
193,65.5833,-171.0,Lavrentiya,RU,-4.22,86,100,9.71,1610542076
194,63.7506,-68.5145,Iqaluit,CA,-4.0,77,90,12.66,1610541967
195,53.1873,158.3805,Yelizovo,RU,-0.4,65,0,8.95,1610542078
199,12.4498,10.0444,Hadejia,NG,90.7,10,1,12.1,1610542083
200,59.1167,159.9667,Palana,RU,2.82,97,100,9.33,1610542084
202,3.9366,41.867,Mandera,KE,95.27,18,0,12.95,1610542086
208,31.3525,27.2453,Marsá Maţrūḩ,EG,66.2,52,40,18.41,1610542095
210,48.0056,91.6419,Khovd,MN,12.51,77,81,11.56,1610542097
212,28.3667,129.4833,Naze,JP,52.57,63,26,2.89,1610542099
213,35.8355,51.0103,Karaj,IR,51.8,32,0,11.5,1610542100
215,15.4,73.8,Mormugao,IN,86.0,58,20,6.91,1610542103
216,5.9667,80.4167,Weligama,LK,75.4,89,98,4.32,1610542104
217,20.8947,-156.47,Kahului,US,75.2,78,1,10.36,1610541878
218,29.0331,21.5482,Jalu,LY,63.72,44,100,19.35,1610542106
219,22.2855,114.1577,Hong Kong,HK,55.99,49,36,5.64,1610542008
223,34.7992,48.5146,Hamadan,IR,59.0,25,0,4.61,1610541922
224,56.5072,56.0766,Chernushka,RU,-9.69,90,68,4.41,1610542114
225,12.6,77.0667,Maddūr,IN,78.8,57,40,10.11,1610542115
226,70.4692,-68.5914,Clyde River,CA,-14.8,84,1,5.75,1610542118
228,48.0,122.7167,Zhalantun,CN,-4.9,81,0,9.6,1610542120
229,72.7868,-56.1549,Upernavik,GL,12.4,96,100,17.72,1610542121
230,68.2191,-135.0107,Aklavik,CA,-4.0,84,100,2.3,1610542123
232,33.194,-82.5271,Avera,US,41.0,93,90,5.75,1610542125
233,54.4299,31.8996,Sobolevo,RU,21.45,96,100,12.1,1610542127
235,41.1415,-73.3579,Westport,US,33.01,74,90,3.53,1610542004
236,18.3851,42.4509,Faya,SA,64.4,45,40,13.8,1610542131
237,65.85,74.4859,Pangody,RU,6.71,94,99,20.11,1610542132
239,4.095,30.6779,Yei,SS,96.89,14,1,6.62,1610542134
