,Latitude,Longitude,City,Country,Max Temp.,Humidity,Cloudiness,Windiness,Date
0,-1.195,-46.02,Carutapera,BR,82.15,78,100,7.23,1610541827
3,-30.1811,-50.2056,Cidreira,BR,72.55,72,99,11.3,1610541653
4,-6.3667,37.3667,Magole,TZ,86.0,66,40,14.97,1610541831
6,-33.65,115.3333,Busselton,AU,66.99,55,100,1.99,1610541834
7,-34.4187,19.2345,Hermanus,ZA,78.01,71,91,10.0,1610541835
10,-0.3582,42.5454,Kismayo,SO,81.18,67,0,19.82,1610541839
11,-21.2078,-159.775,Avarua,CK,80.6,78,75,9.22,1610541840
12,-54.8,-68.3,Ushuaia,AR,46.4,71,75,4.61,1610541841
17,-0.7393,-90.3518,Puerto Ayora,EC,73.99,94,21,3.0,1610541714
20,-33.0153,27.9116,East London,ZA,71.6,100,90,11.5,1610541850
22,-9.8,-139.0333,Atuona,PF,76.78,81,92,18.3,1610541854
24,-53.15,-70.9167,Punta Arenas,CL,53.6,66,75,13.8,1610541856
25,-17.397,32.2268,Mutoko,ZW,75.25,75,97,9.37,1610541857
26,-0.6,73.0833,Hithadhoo,MV,82.08,75,55,20.36,1610541859
27,-46.6,168.3333,Bluff,NZ,55.99,86,59,1.01,1610541860
35,-33.9258,18.4232,Cape Town,ZA,89.6,43,0,12.66,1610541597
42,-46.1927,168.8643,Mataura,NZ,55.99,86,70,1.01,1610541879
44,-42.7826,147.0587,New Norfolk,AU,64.0,77,100,2.62,1610541882
45,-23.1203,-134.9692,Rikitea,PF,77.23,79,17,14.09,1610541883
46,-14.8796,47.9875,Antsohihy,MG,84.78,76,1,6.73,1610541884
47,-6.8844,112.2051,Labuhan,ID,80.24,82,100,9.46,1610541885
50,-24.7117,33.8828,Manjacaze,MZ,89.4,52,41,11.63,1610541889
53,-22.9661,-42.0278,Arraial do Cabo,BR,82.4,69,20,17.27,1610541893
54,-2.5744,150.7967,Kavieng,PG,82.63,77,32,16.31,1610541894
55,-35.1,173.7833,Kaeo,NZ,64.99,89,18,1.99,1610541896
62,-37.6167,-73.65,Lebu,CL,57.81,59,100,12.91,1610541906
63,-21.2,-175.2,Vaini,TO,78.8,94,20,4.61,1610541909
68,-2.0226,147.2712,Lorengau,PG,83.03,76,100,10.16,1610541915
76,-17.7125,-39.2481,Caravelas,BR,86.11,53,9,5.82,1610541925
